"","CommonName","ScientificName","Order","Family","MeanLog","SDLog","Median","SD"
"1633","Italian Sparrow","Passer italiae","Passeriformes","Passeridae (Old World Sparrows)",15.0786316779542,2.25975054044443,3536441.93997366,9.58069887175324
"1634","Brownish-flanked Bush Warbler","Horornis fortipes","Passeriformes","Scotocercidae (Bush Warblers and Allies)",15.1009430531018,2.2828378345475,3616231.62164701,9.80446441551488
"1635","Red-browed Firetail","Neochmia temporalis","Passeriformes","Estrildidae (Waxbills and Allies)",15.1101545365457,2.28741048683843,3649696.37273221,9.84939948010271
"1636","Dwarf Tyrant-Manakin","Tyranneutes stolzmanni","Passeriformes","Pipridae (Manakins)",15.0999803718296,2.32023150694824,3612752.01833203,10.1780303180843
"1637","Asian Rosy-Finch","Leucosticte arctoa","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)",15.0867635328828,2.25590886696271,3565317.01764574,9.54396356267228
"1638","Caribbean Martin","Progne dominicensis","Passeriformes","Hirundinidae (Swallows)",15.08716720083,2.2230312156233,3566756.51236699,9.23528261353656
"1639","Eurasian Nightjar","Caprimulgus europaeus","Caprimulgiformes","Caprimulgidae (Nightjars and Allies)",15.0885100837385,2.32648511935036,3571549.46619367,10.2418792097393
"1640","Himalayan Swiftlet","Aerodramus brevirostris","Caprimulgiformes","Apodidae (Swifts)",15.0590738277458,2.29338497143166,3467948.71165297,9.90842070067482
"1641","Plain Antvireo","Dysithamnus mentalis","Passeriformes","Thamnophilidae (Typical Antbirds)",15.1279676301055,2.31885626531522,3715291.24501997,10.1640426874392
"1642","Short-tailed Pygmy-Tyrant","Myiornis ecaudatus","Passeriformes","Tyrannidae (Tyrant Flycatchers)",15.1311253661195,2.29932991189535,3727041.69663491,9.9675011125921
"1643","Sulphur-bellied Flycatcher","Myiodynastes luteiventris","Passeriformes","Tyrannidae (Tyrant Flycatchers)",15.0594751987531,2.26065505037876,3469340.92509887,9.5893686294104
"1644","Greenish Yellow-Finch","Sicalis olivascens","Passeriformes","Thraupidae (Tanagers and Allies)",15.1249223515498,2.29232605593326,3703994.35807739,9.89793407363605
"1645","Buff-necked Ibis","Theristicus caudatus","Pelecaniformes","Threskiornithidae (Ibises and Spoonbills)",15.102526090677,2.32307125298121,3621960.78572905,10.2069744167974
"1646","Puna Ibis","Plegadis ridgwayi","Pelecaniformes","Threskiornithidae (Ibises and Spoonbills)",15.0624091425444,2.20558244342485,3479534.72306868,9.07553601504023
"1647","Wrentit","Chamaea fasciata","Passeriformes","Paradoxornithidae (Parrotbills, Wrentit, and Allies)",15.091991272541,2.15993467993943,3584004.37056169,8.67057127772457
"1648","Dolphin Gull","Leucophaeus scoresbii","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)",15.0838638151247,2.25150636999571,3554993.57933881,9.50203864690737
"1649","Australasian Darter","Anhinga novaehollandiae","Suliformes","Anhingidae (Anhingas)",15.078188136678,2.33055496006409,3534873.72981122,10.2836469631318
"1650","Rufous-chested Swallow","Cecropis semirufa","Passeriformes","Hirundinidae (Swallows)",15.084480659429,2.35718072951092,3557187.13335131,10.5611347459822
"1651","Blue Ground-Dove","Claravis pretiosa","Columbiformes","Columbidae (Pigeons and Doves)",15.0350284847382,2.2945470680642,3385555.25462221,9.91994193610276
"1652","White-winged Becard","Pachyramphus polychopterus","Passeriformes","Tityridae (Tityras and Allies)",15.1193125698055,2.27021113652332,3683273.93102194,9.68144470487096
"1653","Canada Warbler","Cardellina canadensis","Passeriformes","Parulidae (New World Warblers)",15.1059006777231,2.29333911997386,3634204.05404677,9.90796639555653
"1654","Gray-fronted Dove","Leptotila rufaxilla","Columbiformes","Columbidae (Pigeons and Doves)",15.0959577952463,2.28574787126273,3598248.63670035,9.83303732087532
"1655","Orange-headed Tanager","Thlypopsis sordida","Passeriformes","Thraupidae (Tanagers and Allies)",15.0476746076725,2.29244730393698,3428641.26385037,9.89913425114155
"1656","Yellow-winged Cacique","Cassiculus melanicterus","Passeriformes","Icteridae (Troupials and Allies)",15.0715705018359,2.30896989353392,3511558.45732156,10.0640522682829
"1657","Montagu's Harrier","Circus pygargus","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)",15.0852606054947,2.28217661973426,3559962.62968892,9.79798370121575
"1658","Golden Eagle","Aquila chrysaetos","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)",15.0774911290114,2.32272848834933,3532410.75417733,10.2034764264968
"1659","Mexican Duck","Anas diazi","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",15.0978926914313,2.25722820747385,3605217.61420972,9.55656361048643
"1660","Chiguanco Thrush","Turdus chiguanco","Passeriformes","Turdidae (Thrushes and Allies)",15.0821998015205,2.30029759144734,3549082.9407153,9.97715112791147
"1661","Indian Golden Oriole","Oriolus kundoo","Passeriformes","Oriolidae (Old World Orioles)",15.0716860239358,2.29536220917449,3511964.14336067,9.92803138515989
"1662","Gray-faced Petrel","Pterodroma gouldi","Procellariiformes","Procellariidae (Shearwaters and Petrels)",15.0849697968563,2.3279659290752,3558927.51232168,10.2570567188018
"1663","Plumbeous Kite","Ictinia plumbea","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)",15.0900005751193,2.32638021169563,3576876.79907496,10.2408048145685
"1664","Blue-winged Minla","Actinodura cyanouroptera","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)",15.0762034407005,2.28270231735544,3527865.03750088,9.80313583205257
